# GENERATED by tools/genfont/mksymbols.py -- do not edit.
# Joined from lib/MicroTeX/res (vendored) and unicode-math-table.tex.
# codepoint is StaTeX's lookup key, not a claim about the character's identity;
# cp_source=pua means no Unicode codepoint names this glyph.
# unicode_math is filled in only where unicode-math-table.tex disagrees with the
# chosen codepoint. MicroTeX's tables win because they are what the existing
# atlas was built from; the column records the alternative so switching is a
# one-column edit rather than an archaeology exercise.
name	codepoint	cp_source	atomtype	takes_limits	delimiter	face	tfm_font	slot	ttf	unicode_math
gg	0x2AA2	microtex	Relation	0	0	3	cmsy10	192	maths/cmsy10.ttf	0x226B
ggg	0x22D9	microtex	Relation	0	0	3	msam10	111	maths/msam10.ttf	
gimel	0x2137	microtex	Ordinary	0	0	3	msbm10	106	maths/msbm10.ttf	
gnapprox	0x2A8A	microtex	Relation	0	0	3	msbm10	190	maths/msbm10.ttf	
gneq	0x2A88	microtex	Relation	0	0	3	msbm10	176	maths/msbm10.ttf	
gneqq	0x2269	microtex	Relation	0	0	3	msbm10	170	maths/msbm10.ttf	
gnsim	0x22E7	microtex	Relation	0	0	3	msbm10	182	maths/msbm10.ttf	
gt	0x003E	microtex	Relation	0	0	3	cmmi10_unchanged	62	base/cmmi10.ttf	
gtrapprox	0x2A86	microtex	Relation	0	0	3	msam10	39	maths/msam10.ttf	
gtrdot	0x22D7	microtex	BinaryOp	0	0	3	msbm10	109	maths/msbm10.ttf	
gtreqless	0x22DB	microtex	Relation	0	0	3	msam10	82	maths/msam10.ttf	
gtreqqless	0x2A8C	microtex	Relation	0	0	3	msam10	84	maths/msam10.ttf	
gtrless	0x2277	microtex	Relation	0	0	3	msam10	63	maths/msam10.ttf	
gtrsim	0x2273	microtex	Relation	0	0	3	msam10	38	maths/msam10.ttf	
guillemotleft	0x00AB	microtex	Punctuation	0	0	3	i10	33	latin/i10.ttf	
guillemotright	0x00BB	microtex	Punctuation	0	0	3	i10	36	latin/i10.ttf	
guilsinglleft	0x2039	microtex	Punctuation	0	0	3	i10	34	latin/i10.ttf	
guilsinglright	0x203A	microtex	Punctuation	0	0	3	i10	35	latin/i10.ttf	
gvertneqq	0xE028	pua	Relation	0	0	3	msbm10	162	maths/msbm10.ttf	
hbar	0xE029	pua	Ordinary	0	0	3	msbm10	126	maths/msbm10.ttf	
heartsuit	0x2661	microtex	Ordinary	0	0	3	cmsy10	126	maths/cmsy10.ttf	
hslash	0x210F	microtex	Ordinary	0	0	3	msbm10	125	maths/msbm10.ttf	
i	0x0131	microtex	Ordinary	0	0	3	cmti10	179	latin/optional/cmti10.ttf	
imath	0x1D6A4	unicode-math	Ordinary	0	0	3	cmmi10_unchanged	123	base/cmmi10.ttf	
in	0x2208	microtex	Relation	0	0	3	cmsy10	50	maths/cmsy10.ttf	
infty	0x221E	microtex	Ordinary	0	0	3	cmsy10	49	maths/cmsy10.ttf	
inplus	0x22F4	microtex	Relation	0	0	3	stmary10	97	maths/stmary10.ttf	
int	0x222B	microtex	BigOp	0	0	3	cmex10	82	base/cmex10.ttf	
intercal	0x22BA	microtex	BinaryOp	0	0	3	msam10	124	maths/msam10.ttf	
interleave	0x2AF4	unicode-math	BinaryOp	0	0	3	stmary10	89	maths/stmary10.ttf	
iota	0x03B9	microtex	Ordinary	0	0	3	cmmi10_unchanged	182	base/cmmi10.ttf	
